Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,25,313,110,138,378,101
2,Adolescents,27,372,106,162,367,122
3,Adults,31,370,134,205,346,168
4,Elderly,30,335,178,215,314,191
5,Very Elderly,32,330,180,203,290,202
