Country,min,q1,q2,q3,max
Austria,13,56,114,237,403
Belgium,23,84,146,263,412
Germany,16,65,127,258,430
Denmark,48,100,154,262,405
France,35,105,166,266,407
United Kingdom,16,84,147,273,444
Italy,78,157,233,374,553
Netherlands,18,85,147,252,403
Sweden,11,36,75,170,281
