Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,10,237,107,94,288,100
2,Adolescents,12,293,82,132,196,116
3,Adults,14,292,113,170,199,178
4,Elderly,18,300,146,157,252,204
5,Very Elderly,18,278,113,142,266,155
