Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,28,254,149,127,513,144
2,Adolescents,26,286,150,147,449,146
3,Adults,30,303,200,172,364,181
4,Elderly,31,325,217,163,325,139
5,Very Elderly,31,291,158,167,361,153
