Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,20,227,91,127,313,113
2,Adolescents,21,304,88,162,258,130
3,Adults,27,296,147,187,201,185
4,Elderly,34,303,230,182,185,231
5,Very Elderly,34,286,207,168,200,212
