Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,9,217,113,82,296,79
2,Adolescents,20,376,133,185,432,141
3,Adults,29,355,156,211,229,174
4,Elderly,45,341,179,224,185,189
5,Very Elderly,46,332,181,209,150,169
