Country,min,q1,q2,q3,max
Austria,38,109,194,307,679
Belgium,32,103,174,318,718
Denmark,49,104,153,241,494
France,51,113,165,261,525
Germany,25,103,178,324,776
Italy,41,115,183,305,662
Netherlands,30,98,172,311,801
Sweden,33,110,177,320,765
United Kingdom,33,73,142,266,546
