Country,min,q1,q2,q3,max
Austria,108,219,312,454,697
Belgium,106,218,319,491,731
Germany,100,205,282,444,655
Denmark,98,199,278,408,594
France,97,191,274,400,574
United Kingdom,88,187,272,396,572
Italy,113,222,272,429,594
Netherlands,126,241,338,499,732
Sweden,83,178,272,445,668
