Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,27,324,106,157,296,87
2,Adolescents,21,303,88,167,207,81
3,Adults,15,337,192,208,157,146
4,Elderly,19,334,165,206,133,150
5,Very Elderly,21,353,167,227,141,155
