Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,32,293,143,185,259,165
2,Adolescents,39,365,160,219,234,227
3,Adults,40,326,204,210,187,266
4,Elderly,40,319,268,203,180,275
5,Very Elderly,33,316,258,170,217,240
