Row,PopClass,Fats,Carbohydrates,Fruit,Meats,Milk,Vegetables
1,Children,11,262,122,107,472,53
2,Adolescents,10,292,89,121,446,51
3,Adults,16,312,138,215,289,103
4,Elderly,16,323,183,215,287,103
5,Very Elderly,17,336,186,189,327,113
